"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover ₹  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"TATASTEEL","EQ","02-Apr-2025","153.12","154.00","156.25","152.27","154.84","154.69","154.35","2,49,77,582","3,85,52,06,531.03","1,22,844","1,08,65,755","43.50"
"TATASTEEL","EQ","03-Apr-2025","154.69","153.00","155.97","152.60","153.85","153.62","154.44","1,51,17,526","2,33,47,71,453.89","1,10,552","54,66,140","36.16"
"TATASTEEL","EQ","04-Apr-2025","153.62","152.62","152.99","140.00","140.67","140.39","143.35","8,08,46,143","11,58,95,98,417.40","4,39,854","4,33,89,776","53.67"
"TATASTEEL","EQ","07-Apr-2025","140.39","128.00","130.35","125.33","130.20","129.48","127.62","12,18,06,340","15,54,44,31,644.89","6,07,208","4,76,71,276","39.14"
"TATASTEEL","EQ","08-Apr-2025","129.48","134.89","136.20","128.02","130.05","130.28","131.06","6,89,99,181","9,04,32,62,229.44","3,60,513","2,12,70,380","30.83"
"TATASTEEL","EQ","09-Apr-2025","130.28","130.00","130.00","125.30","127.35","127.18","127.06","7,33,99,980","9,32,62,18,503.85","4,26,871","3,05,71,861","41.65"
"TATASTEEL","EQ","11-Apr-2025","127.18","134.67","134.70","130.49","133.47","133.42","133.00","7,37,06,472","9,80,30,73,537.58","3,49,444","2,50,63,106","34.00"
"TATASTEEL","EQ","15-Apr-2025","133.42","135.60","137.00","134.84","136.70","136.41","135.97","3,89,67,608","5,29,84,86,163.86","2,36,436","1,60,72,784","41.25"
"TATASTEEL","EQ","16-Apr-2025","136.41","136.41","137.60","134.62","137.10","136.97","135.86","4,26,84,087","5,79,91,67,230.47","1,96,883","1,34,53,089","31.52"
"TATASTEEL","EQ","17-Apr-2025","136.97","134.40","137.96","133.70","137.24","137.14","135.99","6,22,82,856","8,47,01,43,514.15","3,62,747","2,38,31,161","38.26"
"TATASTEEL","EQ","21-Apr-2025","137.14","137.65","140.30","137.05","139.50","139.18","139.08","2,65,03,486","3,68,62,12,972.38","2,07,964","86,75,738","32.73"
"TATASTEEL","EQ","22-Apr-2025","139.18","142.00","142.84","137.70","137.97","138.16","139.74","5,84,29,662","8,16,51,64,937.32","2,30,625","2,35,53,329","40.31"
"TATASTEEL","EQ","23-Apr-2025","138.16","139.39","141.50","137.32","140.70","141.16","139.59","3,78,51,304","5,28,34,98,279.14","2,00,342","1,42,73,704","37.71"
"TATASTEEL","EQ","24-Apr-2025","141.16","140.70","141.88","140.28","141.44","141.52","141.36","2,30,61,444","3,26,00,00,657.11","1,26,453","84,61,667","36.69"
"TATASTEEL","EQ","25-Apr-2025","141.52","142.00","143.45","138.02","138.54","138.85","139.96","3,77,64,696","5,28,56,18,336.86","1,98,899","1,37,16,788","36.32"
"TATASTEEL","EQ","28-Apr-2025","138.85","138.54","142.60","138.38","141.99","142.07","141.25","2,69,71,589","3,80,96,14,109.69","1,60,043","1,00,27,777","37.18"
"TATASTEEL","EQ","29-Apr-2025","142.07","142.07","143.30","140.92","141.56","141.50","141.93","2,57,58,449","3,65,59,94,014.18","1,62,820","85,94,256","33.36"
"TATASTEEL","EQ","30-Apr-2025","141.50","141.45","141.56","138.00","139.56","140.08","140.63","2,92,05,042","4,10,72,41,617.98","1,49,767","1,31,55,765","45.05"
"TATASTEEL","EQ","02-May-2025","140.08","140.00","143.10","139.45","141.01","141.18","141.52","3,48,52,288","4,93,23,73,274.49","2,13,141","1,44,99,226","41.60"
"TATASTEEL","EQ","05-May-2025","141.18","141.57","142.70","141.20","142.10","142.08","142.08","1,72,13,477","2,44,56,79,467.61","1,10,720","75,28,731","43.74"
"TATASTEEL","EQ","06-May-2025","142.08","142.08","145.40","141.54","144.03","144.44","143.99","4,26,58,262","6,14,23,62,668.10","2,30,798","1,48,84,708","34.89"
"TATASTEEL","EQ","07-May-2025","144.44","142.20","146.95","142.20","145.70","146.00","145.11","3,46,74,594","5,03,17,39,767.38","1,92,575","1,32,31,478","38.16"
"TATASTEEL","EQ","08-May-2025","146.00","146.00","146.66","142.85","143.28","143.67","144.24","2,96,87,927","4,28,22,62,715.18","1,54,433","1,50,40,709","50.66"
"TATASTEEL","EQ","09-May-2025","143.67","140.99","143.27","140.51","142.80","142.78","142.22","2,18,75,453","3,11,10,85,069.45","1,45,961","71,77,063","32.81"
"TATASTEEL","EQ","12-May-2025","142.78","145.61","151.95","144.50","150.95","151.63","149.79","4,70,87,413","7,05,33,42,672.26","2,33,295","2,00,20,085","42.52"
"TATASTEEL","EQ","13-May-2025","151.63","152.00","152.99","149.01","149.60","149.43","150.33","5,43,89,876","8,17,64,31,830.42","2,66,505","2,15,14,956","39.56"
"TATASTEEL","EQ","14-May-2025","149.43","151.00","157.15","151.00","155.30","155.31","155.49","6,00,02,060","9,33,00,07,517.78","2,90,806","1,91,13,978","31.86"
