Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
22-August-2025,2640.55,2657.00,2618.25,2628.85,2630.712633356083192643,27839,3487,73236409.00,16262,58.41,38.75,-11.70
21-August-2025,2673.95,2673.95,2628.00,2648.00,2646.480439642324888226,21472,2208,56825228.00,10184,47.43,45.95,-25.95
20-August-2025,2600.00,2679.75,2590.10,2668.60,2656.958237618303776532,65298,4923,173494059.00,39502,60.49,89.65,68.60
19-August-2025,2570.00,2614.35,2558.25,2604.00,2590.546922254467695127,65470,6710,169603107.00,45906,70.12,56.10,34.00
18-August-2025,2525.05,2595.80,2525.05,2568.80,2573.076867810542091886,129443,11221,333066789.00,79865,61.70,70.75,43.75
14-August-2025,2485.25,2509.05,2472.90,2482.95,2492.998857653720075494,20134,1605,50194039.00,14196,70.51,36.15,-2.30
13-August-2025,2485.00,2501.40,2475.00,2495.05,2488.212864970352022817,13323,1306,33150460.00,5411,40.61,26.40,10.05
12-August-2025,2520.00,2536.20,2480.00,2483.60,2505.538784757981462409,24275,3402,60821954.00,14593,60.12,56.20,-36.40
11-August-2025,2498.35,2523.70,2479.00,2518.55,2505.293366738248628012,16764,1510,41998738.00,8104,48.34,44.70,20.20
8-August-2025,2515.00,2529.00,2486.75,2498.40,2503.720241259456143937,48910,7152,122456957.00,30406,62.17,42.25,-16.60
7-August-2025,2535.85,2543.15,2494.70,2517.50,2513.182959197444779342,22229,2271,55865544.00,11826,53.20,48.45,-18.35
6-August-2025,2533.15,2562.00,2526.40,2533.80,2539.296653976459082812,57262,4714,145405205.00,37885,66.16,35.60,0.65
5-August-2025,2537.00,2551.95,2517.55,2535.60,2529.910114912679348178,30806,2163,77936411.00,13722,44.54,34.40,-1.40
4-August-2025,2549.95,2583.25,2534.55,2541.55,2552.697033201840894148,24336,2674,62122435.00,8923,36.67,48.70,-8.40
1-August-2025,2540.15,2728.10,2538.15,2551.35,2585.073749100931212485,314214,20415,812266363.00,103622,32.98,189.95,11.20
31-July-2025,2418.00,2548.20,2418.00,2521.85,2511.704090173801820780,212656,17506,534128945.00,68465,32.20,130.20,103.85
